PLAYER_ID,PLAYER_NAME,BIRTHDATE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER
1630618,D.J. Carton,2000-08-05T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629610,DaQuan Jeffries,1997-08-30T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631342,Daeqwon Plowden,1998-08-29T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630227,Daishen Nix,2002-02-13T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630625,Dalano Banton,1999-11-07T00:00:00,Canada,2021,2,46
1631207,Dalen Terry,2002-07-12T00:00:00,USA,2022,1,18
1642261,Dalton Knecht,2001-04-19T00:00:00,USA,2024,1,17
203081,Damian Lillard,1990-07-15T00:00:00,USA,2012,1,6
1641878,Damion Baugh,2000-08-03T00:00:00,USA,Undrafted,Undrafted,Undrafted
1627814,Damion Lee,1992-10-21T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629655,Daniel Gafford,1998-10-01T00:00:00,USA,2019,2,38
1628464,Daniel Theis,1992-04-04T00:00:00,Germany,Undrafted,Undrafted,Undrafted
1642450,Daniss Jenkins,2001-08-17T00:00:00,USA,Undrafted,Undrafted,Undrafted
203957,Danté Exum,1995-07-13T00:00:00,Australia,2014,1,5
203967,Dario Šarić,1994-04-08T00:00:00,Croatia,2014,1,12
1641727,Dariq Whitehead,2004-08-01T00:00:00,USA,2023,1,22
1629636,Darius Garland,2000-01-26T00:00:00,USA,2019,1,5
1630561,David Duke Jr.,1999-10-13T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631223,David Roddy,2001-03-27T00:00:00,USA,2022,1,23
1630558,Davion Mitchell,1998-09-05T00:00:00,USA,2021,1,9
1630549,Day'Ron Sharpe,2001-11-06T00:00:00,USA,2021,1,29
1628368,De'Aaron Fox,1997-12-20T00:00:00,USA,2017,1,5
1629631,De'Andre Hunter,1997-12-02T00:00:00,USA,2019,1,4
1629001,De'Anthony Melton,1998-05-28T00:00:00,USA,2018,2,46
201599,DeAndre Jordan,1988-07-21T00:00:00,USA,2008,2,35
201942,DeMar DeRozan,1989-08-07T00:00:00,USA,2009,1,9
1629731,Dean Wade,1996-11-20T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629028,Deandre Ayton,1998-07-23T00:00:00,Bahamas,2018,1,1
1627749,Dejounte Murray,1996-09-19T00:00:00,USA,2016,1,29
1626153,Delon Wright,1992-04-26T00:00:00,USA,2015,1,20
1630166,Deni Avdija,2001-01-03T00:00:00,Israel,2020,1,9
203471,Dennis Schröder,1993-09-15T00:00:00,Germany,2013,1,17
1641726,Dereck Lively II,2004-02-12T00:00:00,USA,2023,1,12
1627884,Derrick Jones Jr.,1997-02-15T00:00:00,USA,Undrafted,Undrafted,Undrafted
1628401,Derrick White,1994-07-02T00:00:00,USA,2017,1,29
1630217,Desmond Bane,1998-06-25T00:00:00,USA,2020,1,30
1626164,Devin Booker,1996-10-30T00:00:00,USA,2015,1,13
1642269,Devin Carter,2002-03-18T00:00:00,USA,2024,1,13
1630170,Devin Vassell,2000-08-23T00:00:00,USA,2020,1,11
1628415,Dillon Brooks,1996-01-22T00:00:00,Canada,2017,2,45
1641794,Dillon Jones,2001-10-29T00:00:00,USA,2024,1,26
1627734,Domantas Sabonis,1996-05-03T00:00:00,Lithuania,2016,1,11
1631230,Dominick Barlow,2003-05-26T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642270,Donovan Clingan,2004-02-23T00:00:00,USA,2024,1,7
1628378,Donovan Mitchell,1996-09-07T00:00:00,USA,2017,1,13
1628978,Donte DiVincenzo,1997-01-31T00:00:00,USA,2018,1,17
1627827,Dorian Finney-Smith,1993-05-04T00:00:00,USA,Undrafted,Undrafted,Undrafted
203926,Doug McDermott,1992-01-03T00:00:00,USA,2014,1,11
203110,Draymond Green,1990-03-04T00:00:00,USA,2012,2,35
1629234,Drew Eubanks,1997-02-01T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641809,Drew Peterson,1999-11-09T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631166,Drew Timme,2000-09-09T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630696,Dru Smith,1997-12-30T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629130,Duncan Robinson,1994-04-22T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641871,Duop Reath,1996-06-26T00:00:00,South Sudan,Undrafted,Undrafted,Undrafted
203939,Dwight Powell,1991-07-20T00:00:00,Canada,2014,2,45
1630700,Dyson Daniels,2003-03-17T00:00:00,Australia,2022,1,8
1630604,E.J. Liddell,2000-12-18T00:00:00,USA,2022,2,41
203901,Elfrid Payton,1994-02-22T00:00:00,USA,2014,1,10
1641989,Elijah Harkless,2000-02-03T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641801,Emanuel Miller,2000-06-19T00:00:00,Canada,Undrafted,Undrafted,Undrafted
1641734,Emoni Bates,2004-01-28T00:00:00,USA,2023,2,49
1642402,Enrique Freeman,2000-07-29T00:00:00,USA,2024,2,50
201569,Eric Gordon,1988-12-25T00:00:00,USA,2008,1,7
1630596,Evan Mobley,2001-06-18T00:00:00,USA,2021,1,3
1630532,Franz Wagner,2001-08-27T00:00:00,Germany,2021,1,8
1627832,Fred VanVleet,1994-02-25T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641713,GG Jackson,2004-12-17T00:00:00,USA,2023,2,45
1629216,Gabe Vincent,1996-06-14T00:00:00,USA,Undrafted,Undrafted,Undrafted
202066,Garrett Temple,1986-05-08T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629726,Garrison Mathews,1996-10-24T00:00:00,USA,Undrafted,Undrafted,Undrafted
203914,Gary Harris,1994-09-14T00:00:00,USA,2014,1,19
1627780,Gary Payton II,1992-12-01T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629018,Gary Trent Jr.,1999-01-18T00:00:00,USA,2018,2,37
1627777,Georges Niang,1993-06-17T00:00:00,USA,2016,2,50
203507,Giannis Antetokounmpo,1994-12-06T00:00:00,Greece,2013,1,15
1629048,Goga Bitadze,1999-07-20T00:00:00,Georgia,2019,1,18
1641711,Gradey Dick,2003-11-20T00:00:00,USA,2023,1,13
1629684,Grant Williams,1998-11-30T00:00:00,USA,2019,1,22
1628960,Grayson Allen,1995-10-08T00:00:00,USA,2018,1,21
1627824,Guerschon Yabusele,1995-12-17T00:00:00,France,2016,1,16
1630611,Gui Santos,2002-06-22T00:00:00,Brazil,2022,2,55
203084,Harrison Barnes,1992-05-30T00:00:00,USA,2012,1,7
1631127,Harrison Ingram,2002-11-27T00:00:00,USA,2024,2,48
1629312,Haywood Highsmith,1996-12-09T00:00:00,USA,2018,,
1630529,Herbert Jones,1998-10-06T00:00:00,USA,2021,2,35
1641816,Hunter Tyson,2000-06-13T00:00:00,USA,2023,2,37
1630193,Immanuel Quickley,1999-06-17T00:00:00,USA,2020,1,25
1642403,Isaac Jones,2000-07-11T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630171,Isaac Okoro,2001-01-26T00:00:00,USA,2020,1,5
1642268,Isaiah Collier,2004-10-08T00:00:00,USA,2024,1,29
1642384,Isaiah Crawford,2001-11-01T00:00:00,USA,Undrafted,Undrafted,Undrafted
1628392,Isaiah Hartenstein,1998-05-05T00:00:00,Germany,2017,2,43
1630543,Isaiah Jackson,2002-01-10T00:00:00,USA,2021,1,22
1630198,Isaiah Joe,1999-07-02T00:00:00,USA,2020,2,49
1630600,Isaiah Mobley,1999-09-24T00:00:00,USA,2022,2,49
1641815,Isaiah Stevens,2000-11-01T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630191,Isaiah Stewart,2001-05-22T00:00:00,USA,2020,1,16
1631209,Isaiah Wong,2001-01-28T00:00:00,USA,2023,2,55
1627826,Ivica Zubac,1997-03-18T00:00:00,Croatia,2016,2,32
1631120,JD Davison,2002-10-03T00:00:00,USA,2022,2,53
1630550,JT Thor,2002-08-26T00:00:00,USA,2021,2,37
1629630,Ja Morant,1999-08-10T00:00:00,USA,2019,1,2
1642266,Ja'Kobe Walter,2004-09-04T00:00:00,USA,2024,1,19
1631095,Jabari Smith Jr.,2003-05-13T00:00:00,USA,2022,1,3
1631133,Jabari Walker,2002-07-30T00:00:00,USA,2022,2,57
1629098,Jack McVeigh,1996-06-27T00:00:00,Australia,Undrafted,Undrafted,Undrafted
1642050,Jackson Rowe,1997-01-04T00:00:00,Canada,Undrafted,Undrafted,Undrafted
1631210,Jacob Toppin,2000-05-08T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630702,Jaden Hardy,2002-07-05T00:00:00,USA,2022,2,37
1631093,Jaden Ivey,2002-02-13T00:00:00,USA,2022,1,5
1630183,Jaden McDaniels,2000-09-29T00:00:00,USA,2020,1,28
1630531,Jaden Springer,2002-09-25T00:00:00,USA,2021,1,28
203109,Jae Crowder,1990-07-06T00:00:00,USA,2012,2,34
1630256,Jae'Sean Tate,1995-10-28T00:00:00,USA,Undrafted,Undrafted,Undrafted
1626143,Jahlil Okafor,1995-12-15T00:00:00,USA,2015,1,3
1642443,Jahmir Young,2000-10-07T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631170,Jaime Jaquez Jr.,2001-02-18T00:00:00,USA,2023,1,18
1631222,Jake LaRavia,2001-11-03T00:00:00,USA,2022,1,19
1627751,Jakob Poeltl,1995-10-15T00:00:00,Austria,2016,1,9
1641779,Jalen Bridges,2001-05-14T00:00:00,USA,Undrafted,Undrafted,Undrafted
1628973,Jalen Brunson,1996-08-31T00:00:00,USA,2018,2,33
1631105,Jalen Duren,2003-11-18T00:00:00,USA,2022,1,13
1630224,Jalen Green,2002-02-09T00:00:00,USA,2021,1,2
1641720,Jalen Hood-Schifino,2003-06-19T00:00:00,USA,2023,1,17
1630552,Jalen Johnson,2001-12-18T00:00:00,USA,2021,1,20
1629667,Jalen McDaniels,1998-01-31T00:00:00,USA,2019,2,52
1629618,Jalen Pickett,1999-10-22T00:00:00,USA,2023,2,32
1630188,Jalen Smith,2000-03-16T00:00:00,USA,2020,1,10
1630591,Jalen Suggs,2001-06-03T00:00:00,USA,2021,1,5
1631114,Jalen Williams,2001-04-14T00:00:00,USA,2022,1,12
1630592,Jalen Wilson,2000-11-04T00:00:00,USA,2023,2,51
1631288,Jamal Cain,1999-03-20T00:00:00,USA,Undrafted,Undrafted,Undrafted
1627750,Jamal Murray,1997-02-23T00:00:00,Canada,2016,1,7
1642347,Jamal Shead,2002-07-24T00:00:00,USA,2024,2,45
1631123,Jamaree Bouyea,1999-06-27T00:00:00,USA,Undrafted,Undrafted,Undrafted
201935,James Harden,1989-08-26T00:00:00,USA,2009,1,3
201949,James Johnson,1987-02-20T00:00:00,USA,2009,1,16
1630164,James Wiseman,2001-03-31T00:00:00,USA,2020,1,2
1642419,Jamison Battle,2001-05-10T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641716,Jarace Walker,2003-09-04T00:00:00,USA,2023,1,8
1630215,Jared Butler,2000-08-25T00:00:00,USA,2021,2,40
1642272,Jared McCain,2004-02-20T00:00:00,USA,2024,1,16
1631197,Jared Rhoden,1999-08-27T00:00:00,USA,Undrafted,Undrafted,Undrafted
1628991,Jaren Jackson Jr.,1999-09-15T00:00:00,USA,2018,1,4
1629020,Jarred Vanderbilt,1999-04-03T00:00:00,USA,2018,2,41
1628386,Jarrett Allen,1998-04-21T00:00:00,USA,2017,1,22
1629750,Javonte Green,1993-07-23T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629637,Jaxson Hayes,2000-05-23T00:00:00,USA,2019,1,8
1630643,Jay Huff,1997-08-25T00:00:00,USA,Undrafted,Undrafted,Undrafted
1627759,Jaylen Brown,1996-10-24T00:00:00,USA,2016,1,3
1641740,Jaylen Clark,2001-10-13T00:00:00,USA,2023,2,53
1641798,Jaylen Martin,2004-01-28T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629669,Jaylen Nowell,1999-07-09T00:00:00,USA,2019,2,43
1631301,Jaylen Sims,1998-12-11T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642377,Jaylen Wells,2003-08-26T00:00:00,USA,2024,2,39
1631119,Jaylin Williams,2002-06-29T00:00:00,USA,2022,2,34
1642281,Jaylon Tyson,2002-12-02T00:00:00,USA,2024,1,20
1628369,Jayson Tatum,1998-03-03T00:00:00,USA,2017,1,3
1641789,Jazian Gortman,2003-03-14T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630288,Jeff Dowtin Jr.,1997-05-10T00:00:00,USA,Undrafted,Undrafted,Undrafted
201145,Jeff Green,1986-08-28T00:00:00,USA,2007,1,5
203924,Jerami Grant,1994-03-12T00:00:00,USA,2014,2,39
1630526,Jeremiah Robinson-Earl,2000-11-03T00:00:00,USA,2021,2,32
1631110,Jeremy Sochan,2003-05-20T00:00:00,Poland,2022,1,9
1630579,Jericho Sims,1998-10-20T00:00:00,USA,2021,2,58
1642399,Jesse Edwards,2000-03-18T00:00:00,Netherlands,Undrafted,Undrafted,Undrafted
1641724,Jett Howard,2003-09-14T00:00:00,USA,2023,1,11
1628975,Jevon Carter,1995-09-14T00:00:00,USA,2018,2,32
202710,Jimmy Butler III,1989-09-14T00:00:00,USA,2011,1,30
1629111,Jock Landale,1995-10-25T00:00:00,Australia,Undrafted,Undrafted,Undrafted
204060,Joe Ingles,1987-10-02T00:00:00,Australia,Undrafted,Undrafted,Undrafted
203954,Joel Embiid,1994-03-16T00:00:00,Cameroon,2014,1,3
1628381,John Collins,1997-09-23T00:00:00,USA,2017,1,19
1629723,John Konchar,1996-03-22T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631098,Johnny Davis,2002-02-27T00:00:00,USA,2022,1,10
1642277,Johnny Furphy,2004-12-08T00:00:00,Australia,2024,2,35
1630548,Johnny Juzang,2001-03-17T00:00:00,USA,Undrafted,Undrafted,Undrafted
202685,Jonas Valančiūnas,1992-05-06T00:00:00,Lithuania,2011,1,5
1628371,Jonathan Isaac,1997-10-03T00:00:00,USA,2017,1,6
1630228,Jonathan Kuminga,2002-10-06T00:00:00,DRC,2021,1,7
1642367,Jonathan Mogbo,2001-10-29T00:00:00,USA,2024,2,31
203903,Jordan Clarkson,1992-06-07T00:00:00,USA,2014,2,46
1630692,Jordan Goodwin,1998-10-23T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641722,Jordan Hawkins,2002-04-29T00:00:00,USA,2023,1,14
1629162,Jordan McLaughlin,1996-04-09T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641757,Jordan Miller,2000-01-23T00:00:00,USA,2023,2,48
1629673,Jordan Poole,1999-06-19T00:00:00,USA,2019,1,28
1641775,Jordan Walsh,2004-03-03T00:00:00,USA,2023,2,38
1630631,Jose Alvarado,1998-04-12T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630528,Josh Christopher,2001-12-08T00:00:00,USA,2021,1,24
1630581,Josh Giddey,2002-10-10T00:00:00,Australia,2021,1,6
1630182,Josh Green,2000-11-16T00:00:00,Australia,2020,1,18
1628404,Josh Hart,1995-03-06T00:00:00,USA,2017,1,30
1631169,Josh Minott,2002-11-25T00:00:00,USA,2022,2,45
1629006,Josh Okogie,1998-09-01T00:00:00,Nigeria,2018,1,20
1626196,Josh Richardson,1993-09-15T00:00:00,USA,2015,2,40
201950,Jrue Holiday,1990-06-12T00:00:00,USA,2009,1,17
1630577,Julian Champagnie,2001-06-29T00:00:00,USA,Undrafted,Undrafted,Undrafted
1641763,Julian Phillips,2003-11-05T00:00:00,USA,2023,2,35
1631124,Julian Strawther,2002-04-18T00:00:00,USA,2023,1,29
203944,Julius Randle,1994-11-29T00:00:00,USA,2014,1,7
1630551,Justin Champagnie,2001-06-29T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642348,Justin Edwards,2003-12-16T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631303,Justin Minaya,1999-03-26T00:00:00,USA,Undrafted,Undrafted,Undrafted
203994,Jusuf Nurkić,1994-08-23T00:00:00,Bosnia and Herzegovina,2014,1,16
1630231,KJ Martin,2001-01-06T00:00:00,USA,2020,2,52
1642354,KJ Simpson,2002-08-08T00:00:00,USA,2024,2,42
1630539,Kai Jones,2001-01-19T00:00:00,Bahamas,2021,1,19
1626157,Karl-Anthony Towns,1995-11-15T00:00:00,USA,2015,1,1
1631255,Karlo Matković,2001-03-30T00:00:00,Bosnia and Herzegovina,2022,2,52
202695,Kawhi Leonard,1991-06-29T00:00:00,USA,2011,1,15
1630811,Keaton Wallace,1999-02-26T00:00:00,USA,Undrafted,Undrafted,Undrafted
1631099,Keegan Murray,2000-08-19T00:00:00,USA,2022,1,4
1631232,Keion Brooks Jr.,2000-08-07T00:00:00,USA,Undrafted,Undrafted,Undrafted
1642276,Kel'el Ware,2004-04-20T00:00:00,USA,2024,1,15
1629640,Keldon Johnson,1999-10-11T00:00:00,USA,2019,1,29
203482,Kelly Olynyk,1991-04-19T00:00:00,Canada,2013,1,13
1626162,Kelly Oubre Jr.,1995-12-09T00:00:00,USA,2015,1,15
1629026,Kenrich Williams,1994-12-02T00:00:00,USA,Undrafted,Undrafted,Undrafted
203484,Kentavious Caldwell-Pope,1993-02-18T00:00:00,USA,2013,1,8
1631165,Keon Ellis,2000-01-08T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630553,Keon Johnson,2002-03-10T00:00:00,USA,2021,1,21
1642352,Keshad Johnson,2001-06-23T00:00:00,USA,Undrafted,Undrafted,Undrafted
1630556,Kessler Edwards,2000-08-09T00:00:00,USA,2021,2,44
201142,Kevin Durant,1988-09-29T00:00:00,USA,2007,1,2
1628989,Kevin Huerter,1998-08-27T00:00:00,USA,2018,1,19
1628995,Kevin Knox II,1999-08-11T00:00:00,USA,2018,1,9
201567,Kevin Love,1988-09-07T00:00:00,USA,2008,1,5
1641755,Kevin McCullar Jr.,2001-03-15T00:00:00,USA,2024,2,56
1629645,Kevin Porter Jr.,2000-05-04T00:00:00,USA,2019,1,30
1626172,Kevon Looney,1996-02-06T00:00:00,USA,2015,1,30
1641718,Keyonte George,2003-11-08T00:00:00,USA,2023,1,16
203114,Khris Middleton,1991-08-12T00:00:00,USA,2012,2,39
1630165,Killian Hayes,2001-07-27T00:00:00,France,2020,1,7
202691,Klay Thompson,1990-02-08T00:00:00,USA,2011,1,11
1641738,Kobe Brown,2000-01-01T00:00:00,USA,2023,1,30
1641723,Kobe Bufkin,2003-09-21T00:00:00,USA,2023,1,15
1627739,Kris Dunn,1994-03-18T00:00:00,USA,2016,1,5
1631200,Kris Murray,2000-08-19T00:00:00,USA,2023,1,23
204001,Kristaps Porziņģis,1995-08-02T00:00:00,Latvia,2015,1,4
203937,Kyle Anderson,1993-09-20T00:00:00,USA,2014,1,30
1642271,Kyle Filipowski,2003-11-07T00:00:00,USA,2024,2,32
1628398,Kyle Kuzma,1995-07-24T00:00:00,USA,2017,1,27
200768,Kyle Lowry,1986-03-25T00:00:00,USA,2006,1,24
1630283,Kylor Kelley,1997-08-26T00:00:00,USA,Undrafted,Undrafted,Undrafted
202681,Kyrie Irving,1992-03-23T00:00:00,Australia,2011,1,1
1642273,Kyshawn George,2003-12-12T00:00:00,Switzerland,2024,1,24
1630163,LaMelo Ball,2001-08-22T00:00:00,USA,2020,1,3
1630205,Lamar Stevens,1997-07-09T00:00:00,USA,Undrafted,Undrafted,Undrafted
1629013,Landry Shamet,1997-03-13T00:00:00,USA,2018,1,26
1626204,Larry Nance Jr.,1993-01-01T00:00:00,USA,2015,1,27
1628374,Lauri Markkanen,1997-05-22T00:00:00,Finland,2017,1,7
2544,LeBron James,1984-12-30T00:00:00,USA,2003,1,1
