PLAYER_ID,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME,BIRTHDATE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,Salary,Followers,TEAM_ABBREVIATION,record,active_players,avg_team_age,total_cap_used,remaining_cap_space,active_cap,active_top_3,dead_cap,TEAM_NAME,OWNER_NET_WORTH_B,Stadium_Name,Capacity,City,STADIUM_YEAR_OPENED,STADIUM_COST,Age,YOS,Contract_Type,GP,MIN,PTS,AVG_SPEED,DIST_MILES,ALL_STAR_APPEARANCES,ISO_PTS,ISO_PPP,PNR_PTS,PNR_PPP,POST_PTS,POST_PPP,CLUTCH_PTS,CLUTCH_GP,RIM_DFG_PCT,RIM_CONTEST_FREQ,is_USA,Player_bias_effect
201569,1610612755,111.0,116.4,-5.4,0.118,2.32,20.5,0.011,0.052,0.031,8.8,0.564,0.591,0.14,99.62,83.02,0.067,1601,2.2,5.2,Eric Gordon,12/25/1988,USA,2008,1,7,3303771,12.371591321286905,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,2.501435951739211,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,36.94455852156057,16,Vet_Minimum,39,768.4916667,266,3.78,52.4,0,11,1.0,11,0.647,0,0.0,12,8,0.688,0.317,1,0.4984347514244711
201572,1610612749,114.8,112.7,2.2,0.078,1.7,13.5,0.046,0.107,0.078,7.9,0.599,0.624,0.157,100.24,83.53,0.087,5325,4.9,9.7,Brook Lopez,4/1/1988,USA,2008,1,10,23000000,11.408686542313973,MIL,48-34,15,26.7,195746447,55158447,183221333,122031412,3733720,Milwaukee Bucks,2.2512917986064953,Fiserv Forum,17500,"Milwaukee, WI",2018,524000000,37.67830253251198,16,Free_Market,80,2546.07,1041,3.88,174.8,1,16,0.8,0,0.0,99,0.971,50,34,0.586,0.373,1,0.1846784852309073
201587,1610612746,110.5,104.7,5.9,0.082,2.47,23.0,0.034,0.117,0.077,9.3,0.622,0.633,0.087,100.22,83.52,0.069,2848,1.3,3.1,Nicolas Batum,12/14/1988,France,2008,1,25,4668000,12.605187634239536,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,4.820281565605037,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,36.97467488021903,16,Free_Market,78,1367.373333,313,4.22,103.8,0,0,0.0,0,0.0,0,0.0,3,13,0.563,0.418,0,0.14227842869636315
201599,1610612743,108.8,112.1,-3.3,0.105,1.33,20.2,0.119,0.262,0.194,15.3,0.65,0.621,0.126,100.07,83.39,0.115,1440,1.6,2.5,DeAndre Jordan,7/21/1988,USA,2008,2,35,2087519,14.403297778421795,DEN,50-32,15,26.0,192786656,52198656,182574315,123292088,3733720,Denver Nuggets,2.884800712846709,Ball Arena,19520,"Denver, CO",1999,187000000,37.374401095140314,16,Free_Market,56,690.7016667,209,3.63,43.3,1,0,0.0,0,0.0,0,0.0,0,3,0.574,0.32,1,0.6111571269364829
201935,1610612746,115.4,109.2,6.2,0.365,2.01,26.9,0.02,0.143,0.083,13.4,0.501,0.582,0.286,98.82,82.35,0.145,5737,6.7,16.4,James Harden,8/26/1989,USA,2009,1,3,33653846,11.88173350431221,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,4.820281565605037,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,36.276522929500345,15,Free_Market,79,2789.036667,1802,3.52,175.3,11,714,1.061,424,0.843,10,0.667,94,34,0.657,0.386,1,0.012180381818354267
201939,1610612744,118.4,112.7,5.7,0.284,2.11,21.1,0.017,0.118,0.066,10.0,0.572,0.618,0.286,101.72,84.77,0.145,4785,8.1,18.0,Stephen Curry,3/14/1988,USA,2009,1,7,55761216,17.877676239033843,GSW,48-34,15,27.2,199518342,58930342,176474440,128667036,306447,Golden State Warriors ,1.6094379124341003,Chase Center,18064,"San Francisco, CA",2019,1400000000,37.72758384668035,15,Max_Contract,70,2252.45,1718,4.26,170.5,13,114,0.87,343,0.855,0,0.0,126,35,0.584,0.317,1,0.07407893121298789
201942,1610612758,116.8,115.3,1.5,0.182,3.26,17.7,0.018,0.09,0.054,5.4,0.509,0.569,0.244,99.35,82.79,0.112,5740,8.1,17.0,DeMar DeRozan,8/7/1989,USA,2009,1,9,23400000,15.009433329466965,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.5877866649021191,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,36.328542094455855,15,Free_Market,77,2767.615,1710,3.97,195.9,6,243,0.942,412,1.059,253,1.11,132,37,0.621,0.381,1,0.32131407774462833
201949,1610612754,97.4,110.5,-13.1,0.16,1.0,21.1,0.0,0.176,0.087,21.1,0.364,0.35,0.165,100.28,83.57,0.015,77,0.3,0.9,James Johnson,2/20/1987,USA,2009,1,16,2087519,0.0,IND,50-32,15,25.7,171232577,30644577,166839774,104281300,2530538,Indiana Pacers ,1.2237754316221157,Gainbridge Fieldhouse,17923,"Indianapolis, IN",1999,183000000,38.789869952087614,15,Free_Market,12,36.61666667,8,3.85,2.6,0,0,0.0,0,0.0,0,0.0,0,0,0.333,0.462,1,0.8465845049215379
201950,1610612738,116.6,107.7,8.9,0.174,3.1,25.9,0.038,0.091,0.065,8.3,0.538,0.565,0.156,99.38,82.81,0.088,3921,4.1,9.2,Jrue Holiday,6/12/1990,USA,2009,1,17,30000000,13.682323106185317,BOS,61-21,15,27.5,197048229,56460229,193098445,114054140,14986624,Boston Celtics,2.1400661634962708,TD Garden,19156,"Boston, MA",1995,160000000,35.48254620123203,15,Free_Market,62,1896.068333,686,4.14,137.4,2,36,0.878,75,0.904,30,0.789,36,26,0.613,0.351,1,0.18170764870126221
201959,1610612766,96.6,110.4,-13.8,0.081,0.84,14.0,0.114,0.151,0.133,16.7,0.5,0.515,0.132,99.38,82.82,0.068,843,1.3,2.6,Taj Gibson,6/24/1985,USA,2009,1,26,2087519,12.889424508221817,CHA,19-63,15,25.2,167423486,26835486,152436862,80445913,14986624,Charlotte Hornets ,0.33647223662121295,Spectrum Center,19077,"Charlotte, NC",2005,260000000,40.44900752908966,15,Free_Market,37,408.85,107,4.05,29.4,0,0,0.0,0,0.0,0,0.0,0,5,0.479,0.369,1,0.6664499043797283
201988,1610612746,104.6,108.0,-3.4,0.123,1.53,18.1,0.012,0.051,0.032,11.8,0.51,0.543,0.15,103.29,86.07,0.055,694,1.2,3.3,Patty Mills,8/11/1988,Australia,2009,2,55,2087519,13.329541760947048,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,4.820281565605037,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,37.31690622861054,15,Free_Market,29,320.655,111,4.54,26.1,0,0,0.0,4,0.235,0,0.0,0,2,0.667,0.359,0,0.5459316660005699
202066,1610612761,106.6,111.1,-4.5,0.171,3.1,29.0,0.036,0.09,0.061,9.3,0.35,0.406,0.129,105.94,88.28,0.051,498,0.6,2.1,Garrett Temple,5/8/1986,USA,0,0,0,2087519,10.980212041446208,TOR,30-52,15,24.9,178496026,37908026,154302912,94310843,16405595,Toronto Raptors,1.33500106673234,Scotiabank Arena,19800,"Toronto, ON",1999,265000000,39.578370978781656,15,Free_Market,28,226.7683333,53,4.36,17.9,0,0,0.0,0,0.0,0,0.0,0,1,0.613,0.341,1,0.5870075612199724
202331,1610612755,108.3,112.2,-3.8,0.217,1.68,19.9,0.018,0.153,0.083,11.8,0.514,0.543,0.233,98.87,82.39,0.106,2757,6.0,13.9,Paul George,5/2/1990,USA,2010,1,10,49205800,16.08763654656639,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,2.501435951739211,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,35.59479808350445,14,Max_Contract,41,1333.593333,665,4.06,97.1,9,149,1.035,144,0.823,41,0.932,25,19,0.617,0.386,1,0.4950881997592091
202681,1610612742,116.5,113.9,2.6,0.198,2.08,16.9,0.033,0.093,0.064,8.1,0.549,0.594,0.264,99.98,83.31,0.129,3768,8.9,18.9,Kyrie Irving,3/23/1992,Australia,2011,1,1,40000000,16.8261314932731,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,33.70294318959617,13,Free_Market,50,1803.796667,1234,3.9,125.3,10,271,1.063,275,1.066,50,1.111,62,26,0.639,0.367,0,0.5789920820018325
202684,1610612739,97.2,109.8,-12.5,0.109,1.71,19.5,0.084,0.271,0.177,11.4,0.437,0.41,0.123,100.56,83.8,0.083,688,0.8,1.8,Tristan Thompson,3/13/1991,Canada,2011,1,4,2087519,15.123843647884687,CLE,64-18,15,26.0,178212347,37624347,169371096,93832409,491175,Cleveland Calvaliers ,3.5085558999826545,Rocket Mortgage FieldHouse,19432,"Cleveland, OH",1994,100000000,34.732375085557834,13,Free_Market,40,328.17,69,3.93,23.3,0,0,0.0,0,0.0,0,0.0,0,5,0.509,0.297,0,0.7017772915460491
202685,1610612758,109.2,118.8,-9.6,0.171,1.37,16.6,0.122,0.286,0.203,12.2,0.557,0.602,0.222,101.28,84.4,0.147,3217,4.3,7.7,Jonas Valančiūnas,5/6/1992,Lithuania,2011,1,5,9900000,12.53430027429669,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.5877866649021191,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,33.582477754962355,13,Free_Market,81,1523.763333,843,4.02,109.5,0,15,0.75,0,0.0,137,1.123,9,9,0.697,0.367,0,0.23005099171258153
202685,1610612758,109.2,118.8,-9.6,0.171,1.37,16.6,0.122,0.286,0.203,12.2,0.557,0.602,0.222,101.28,84.4,0.147,3217,4.3,7.7,Jonas Valančiūnas,5/6/1992,Lithuania,2011,1,5,9900000,12.53430027429669,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.5877866649021191,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,33.582477754962355,13,Free_Market,81,1523.763333,843,4.02,109.5,0,15,0.75,0,0.0,63,1.033,9,9,0.697,0.367,0,0.24977293142029278
202687,1610612759,108.7,117.9,-9.2,0.079,1.15,16.9,0.08,0.207,0.144,14.8,0.588,0.576,0.124,100.23,83.53,0.08,1102,2.4,4.1,Bismack Biyombo,8/28/1992,DRC,2011,1,7,503884,0.0,SAS,34-48,15,25.2,162809380,22221380,155231927,83196166,7577453,San Antonio Spurs ,0.18232155679395465,Frost Bank Center,18418,"San Antonio, TX",2002,175000000,33.270362765229294,13,Free_Market,28,527.4866667,144,4.16,38.6,0,0,0.0,0,0.0,0,0.0,0,4,0.576,0.492,0,-0.04925297995924239
202691,1610612742,112.8,115.2,-2.4,0.104,1.65,12.7,0.022,0.097,0.06,7.7,0.535,0.552,0.214,100.53,83.77,0.083,4123,5.0,12.2,Klay Thompson,2/8/1990,USA,2011,1,11,15873016,16.636889503897294,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,35.82203969883641,13,Free_Market,72,1964.568333,1005,4.28,148.6,5,21,0.5,58,0.817,15,0.833,36,30,0.579,0.344,1,0.6603458104174009
202692,1610612748,113.5,107.6,5.9,0.09,1.9,14.7,0.018,0.119,0.07,7.8,0.587,0.608,0.16,98.03,81.69,0.088,1766,2.3,5.5,Alec Burks,7/20/1991,USA,2011,1,12,2087519,0.0,MIA,37-45,15,26.6,179350729,38762729,173088172,90125126,5514986,Miami Heat,2.2617630984737906,Kaseya Center,19600,"Miami, FL",1999,213000000,34.379192334017795,13,Free_Market,49,863.4966667,356,4.18,64.3,0,9,0.9,39,0.975,0,0.0,14,9,0.616,0.337,1,-0.08384393405367714
202693,1610612747,106.1,113.9,-7.8,0.191,4.2,21.2,0.017,0.114,0.066,5.1,0.364,0.385,0.202,100.86,84.05,0.045,345,1.4,4.7,Markieff Morris,9/2/1989,USA,2011,1,13,2087519,0.0,LAL,50-32,15,27.7,200785985,60197985,182745885,108760785,5514986,Los Angeles Lakers ,3.4339872044851463,Crypto.com Arena,19068,"Los Angeles, CA",1999,375000000,36.257357973990416,13,Free_Market,15,164.4333333,56,3.68,10.8,0,0,0.0,0,0.0,0,0.0,0,1,0.667,0.397,1,-0.7877283953038695
202695,1610612746,120.3,107.9,12.4,0.147,1.61,13.5,0.033,0.158,0.098,8.4,0.56,0.589,0.28,97.26,81.05,0.134,2391,8.4,16.8,Kawhi Leonard,6/29/1991,USA,2011,1,15,49205800,0.0,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,4.820281565605037,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,34.43668720054757,13,Max_Contract,37,1179.956667,796,4.14,86.2,7,96,0.787,148,0.931,61,1.151,18,14,0.633,0.342,1,-1.0339391956294333
202696,1610612741,113.6,116.0,-2.4,0.165,2.15,17.3,0.076,0.228,0.154,8.1,0.592,0.611,0.221,104.11,86.76,0.136,4950,7.5,14.2,Nikola Vučević,10/24/1990,Montenegro,2011,1,16,20000000,0.0,CHI,39-43,15,24.6,168006873,27418873,157180244,59395348,8739110,Chicago Bulls,1.1939224684724346,United Center,20917,"Chicago, IL",1994,175000000,35.115674195756334,13,Free_Market,73,2278.25,1349,3.95,160.0,2,20,1.176,0,0.0,193,1.032,44,29,0.639,0.407,0,-0.47447998505180816
202699,1610612765,114.7,110.8,3.9,0.095,1.91,14.4,0.028,0.155,0.092,7.6,0.534,0.571,0.173,100.89,84.07,0.1,4845,5.3,11.0,Tobias Harris,7/15/1992,USA,2011,1,19,25365854,13.003807293022762,DET,44-38,15,25.0,141808220,1220220,133989678,56559037,7818542,Detroit Pistons ,2.4069451083182885,Little Caesars Arena,20491,"Detroit, MI",2017,863000000,33.39082819986311,13,Free_Market,73,2305.413333,1002,4.14,170.3,0,55,0.809,66,0.815,168,1.043,38,35,0.612,0.353,1,0.328098128520112
202709,1610612753,110.5,106.9,3.6,0.166,4.0,28.7,0.027,0.095,0.06,7.2,0.529,0.547,0.126,98.59,82.16,0.075,1252,1.2,3.1,Cory Joseph,8/20/1991,Canada,2011,1,29,3303771,0.0,ORL,41-41,15,25.3,152959238,12371238,152959238,63257000,2328828,Orlando Magic,1.8562979903656263,Amway Center,18000,"Orlando, FL",2010,480000000,34.2943189596167,13,Vet_Minimum,50,611.7333333,177,4.52,49.5,0,0,0.0,27,0.794,0,0.0,0,6,0.693,0.355,0,0.0022369543783194003
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,110,1.048,88,1.086,115,0.913,41,21,0.521,0.392,1,0.06468920937590608
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,110,1.048,88,1.086,25,1.042,41,21,0.521,0.392,1,0.057445321452562016
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,110,1.048,14,0.737,115,0.913,41,21,0.521,0.392,1,0.05165494482409179
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,110,1.048,14,0.737,25,1.042,41,21,0.521,0.392,1,0.09112138560609723
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,17,0.63,88,1.086,115,0.913,41,21,0.521,0.392,1,0.030889426508996416
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,17,0.63,88,1.086,25,1.042,41,21,0.521,0.392,1,0.03582736490003778
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,17,0.63,14,0.737,115,0.913,41,21,0.521,0.392,1,0.03582736490003778
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,15.76142084987672,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,3.505557396986398,American Airlines Center,19200,"Dallas, TX",2001,420000000,32.73648186173853,12,Free_Market,51,1705.488333,1261,3.75,113.8,11,17,0.63,14,0.737,25,1.042,41,21,0.521,0.392,1,0.02013446262831474
203078,1610612756,110.6,118.6,-8.0,0.177,1.97,18.6,0.021,0.083,0.054,9.4,0.571,0.598,0.219,100.02,83.35,0.093,3552,6.5,13.1,Bradley Beal,6/28/1993,USA,2012,1,3,50203930,14.077875591662238,HOU,52-30,15,25.7,173496349,32908349,161552948,78702108,7768363,Pheonix Suns,2.3978952727983707,Toyota Center,18055,"Houston, TX",2003,235000000,32.43805612594114,12,Max_Contract,53,1702.191667,902,4.16,126.4,3,53,0.93,182,0.847,0,0.0,38,23,0.659,0.314,1,0.45067871664904186
203081,1610612749,115.3,114.6,0.7,0.299,2.53,23.8,0.014,0.108,0.063,9.4,0.547,0.621,0.269,100.86,84.05,0.144,4407,7.7,17.1,Damian Lillard,7/15/1990,USA,2012,1,6,48787676,16.118095750958314,MIL,48-34,15,26.7,195746447,55158447,183221333,122031412,791771,Milwaukee Bucks,2.2512917986064953,Fiserv Forum,17500,"Milwaukee, WI",2018,524000000,35.39219712525667,12,Max_Contract,58,2092.87,1447,4.1,152.4,10,201,0.995,561,1.073,0,0.0,60,27,0.623,0.304,1,0.030263476812792317
203083,1610612755,103.4,118.9,-15.5,0.07,0.62,9.4,0.134,0.288,0.205,15.2,0.506,0.535,0.183,98.83,82.36,0.109,1543,2.9,5.9,Andre Drummond,8/10/1993,USA,2012,1,9,5000000,14.077875591662238,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,2.501435951739211,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,32.32032854209446,12,Free_Market,40,750.6333333,293,4.02,53.8,2,0,0.0,0,0.0,36,0.923,0,5,0.699,0.369,1,0.5122257122370057
