PLAYER_ID,TEAM_ID,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PACE_PER40,PIE,POSS,FGM_PG,FGA_PG,PLAYER_NAME,BIRTHDATE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,Salary,Followers,TEAM_ABBREVIATION,record,active_players,avg_team_age,total_cap_used,remaining_cap_space,active_cap,active_top_3,dead_cap,TEAM_NAME,OWNER_NET_WORTH_B,Stadium_Name,Capacity,City,STADIUM_YEAR_OPENED,STADIUM_COST,Age,YOS,GP,MIN,PTS,Contract_Type
201569,1610612755,111,116.4,-5.4,0.118,2.32,20.5,0.011,0.052,0.031,8.8,0.564,0.591,0.14,99.62,83.02,0.067,1601,2.2,5.2,Eric Gordon,12/25/1988,USA,2008,1,7,3303771,236000,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,11.2,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,36,16,39,768.4916667,266,Vet_Minimum
201572,1610612749,114.8,112.7,2.2,0.078,1.7,13.5,0.046,0.107,0.078,7.9,0.599,0.624,0.157,100.24,83.53,0.087,5325,4.9,9.7,Brook Lopez,4/1/1988,USA,2008,1,10,23000000,90100,MIL,48-34,15,26.7,195746447,55158447,183221333,122031412,3733720,Milwaukee Bucks,8.5,Fiserv Forum,17500,"Milwaukee, WI",2018,524000000,36,16,80,2546.07,1041,Free_Market
201587,1610612746,110.5,104.7,5.9,0.082,2.47,23,0.034,0.117,0.077,9.3,0.622,0.633,0.087,100.22,83.52,0.069,2848,1.3,3.1,Nicolas Batum,12/14/1988,France,2008,1,25,4668000,298100,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,123,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,36,16,78,1367.373333,313,Free_Market
201599,1610612743,108.8,112.1,-3.3,0.105,1.33,20.2,0.119,0.262,0.194,15.3,0.65,0.621,0.126,100.07,83.39,0.115,1440,1.6,2.5,DeAndre Jordan,7/21/1988,USA,2008,2,35,2087519,1800000,DEN,50-32,15,26,192786656,52198656,182574315,123292088,3733720,Denver Nuggets,16.9,Ball Arena,19520,"Denver, CO",1999,187000000,36,16,56,690.7016667,209,Free_Market
201935,1610612746,115.4,109.2,6.2,0.365,2.01,26.9,0.02,0.143,0.083,13.4,0.501,0.582,0.286,98.82,82.35,0.145,5737,6.7,16.4,James Harden,8/26/1989,USA,2009,1,3,33653846,144600,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,123,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,35,15,79,2789.036667,1802,Free_Market
201939,1610612744,118.4,112.7,5.7,0.284,2.11,21.1,0.017,0.118,0.066,10,0.572,0.618,0.286,101.72,84.77,0.145,4785,8.1,18,Stephen Curry,3/14/1988,USA,2009,1,7,55761216,58100000,GSW,48-34,15,27.2,199518342,58930342,176474440,128667036,306447,Golden State Warriors ,4,Chase Center,18064,"San Francisco, CA",2019,1400000000,36,15,70,2252.45,1718,Max_Contract
201942,1610612758,116.8,115.3,1.5,0.182,3.26,17.7,0.018,0.09,0.054,5.4,0.509,0.569,0.244,99.35,82.79,0.112,5740,8.1,17,DeMar DeRozan,8/7/1989,USA,2009,1,9,23400000,3300000,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.8,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,35,15,77,2767.615,1710,Free_Market
201949,1610612754,97.4,110.5,-13.1,0.16,1,21.1,0,0.176,0.087,21.1,0.364,0.35,0.165,100.28,83.57,0.015,77,0.3,0.9,James Johnson,2/20/1987,USA,2009,1,16,2087519,0,IND,50-32,15,25.7,171232577,30644577,166839774,104281300,2530538,Indiana Pacers ,2.4,Gainbridge Fieldhouse,17923,"Indianapolis, IN",1999,183000000,37,15,12,36.61666667,8,Free_Market
201950,1610612738,116.6,107.7,8.9,0.174,3.1,25.9,0.038,0.091,0.065,8.3,0.538,0.565,0.156,99.38,82.81,0.088,3921,4.1,9.2,Jrue Holiday,6/12/1990,USA,2009,1,17,30000000,875300,BOS,61-21,15,27.5,197048229,56460229,193098445,114054140,14986624,Boston Celtics,7.5,TD Garden,19156,"Boston, MA",1995,160000000,34,15,62,1896.068333,686,Free_Market
201959,1610612766,96.6,110.4,-13.8,0.081,0.84,14,0.114,0.151,0.133,16.7,0.5,0.515,0.132,99.38,82.82,0.068,843,1.3,2.6,Taj Gibson,6/24/1985,USA,2009,1,26,2087519,396100,CHA,19-63,15,25.2,167423486,26835486,152436862,80445913,14986624,Charlotte Hornets ,0.4,Spectrum Center,19077,"Charlotte, NC",2005,260000000,39,15,37,408.85,107,Free_Market
201988,1610612746,104.6,108,-3.4,0.123,1.53,18.1,0.012,0.051,0.032,11.8,0.51,0.543,0.15,103.29,86.07,0.055,694,1.2,3.3,Patty Mills,8/11/1988,Australia,2009,2,55,2087519,615100,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,123,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,36,15,29,320.655,111,Free_Market
202066,1610612761,106.6,111.1,-4.5,0.171,3.1,29,0.036,0.09,0.061,9.3,0.35,0.406,0.129,105.94,88.28,0.051,498,0.6,2.1,Garrett Temple,5/8/1986,USA,,,,2087519,58700,TOR,30-52,15,24.9,178496026,37908026,154302912,94310843,16405595,Toronto Raptors,2.8,Scotiabank Arena,19800,"Toronto, ON",1999,265000000,38,15,28,226.7683333,53,Free_Market
202331,1610612755,108.3,112.2,-3.8,0.217,1.68,19.9,0.018,0.153,0.083,11.8,0.514,0.543,0.233,98.87,82.39,0.106,2757,6,13.9,Paul George,5/2/1990,USA,2010,1,10,49205800,9700000,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,11.2,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,34,14,41,1333.593333,665,Max_Contract
202681,1610612742,116.5,113.9,2.6,0.198,2.08,16.9,0.033,0.093,0.064,8.1,0.549,0.594,0.264,99.98,83.31,0.129,3768,8.9,18.9,Kyrie Irving,3/23/1992,Australia,2011,1,1,40000000,20300000,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,32.3,American Airlines Center,19200,"Dallas, TX",2001,420000000,32,13,50,1803.796667,1234,Free_Market
202684,1610612739,97.2,109.8,-12.5,0.109,1.71,19.5,0.084,0.271,0.177,11.4,0.437,0.41,0.123,100.56,83.8,0.083,688,0.8,1.8,Tristan Thompson,3/13/1991,Canada,2011,1,4,2087519,3700000,CLE,64-18,15,26,178212347,37624347,169371096,93832409,491175,Cleveland Calvaliers ,32.4,Rocket Mortgage FieldHouse,19432,"Cleveland, OH",1994,100000000,33,13,40,328.17,69,Free_Market
202685,1610612758,109.2,118.8,-9.6,0.171,1.37,16.6,0.122,0.286,0.203,12.2,0.557,0.602,0.222,101.28,84.4,0.147,3217,4.3,7.7,Jonas Valančiūnas,5/6/1992,Lithuania,2011,1,5,9900000,277700,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.8,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,32,13,81,1523.763333,843,Free_Market
202687,1610612759,108.7,117.9,-9.2,0.079,1.15,16.9,0.08,0.207,0.144,14.8,0.588,0.576,0.124,100.23,83.53,0.08,1102,2.4,4.1,Bismack Biyombo,8/28/1992,DRC,2011,1,7,503884,0,SAS,34-48,15,25.2,162809380,22221380,155231927,83196166,7577453,San Antonio Spurs ,0.2,Frost Bank Center,18418,"San Antonio, TX",2002,175000000,32,13,28,527.4866667,144,Free_Market
202691,1610612742,112.8,115.2,-2.4,0.104,1.65,12.7,0.022,0.097,0.06,7.7,0.535,0.552,0.214,100.53,83.77,0.083,4123,5,12.2,Klay Thompson,2/8/1990,USA,2011,1,11,15873016,16800000,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,32.3,American Airlines Center,19200,"Dallas, TX",2001,420000000,34,13,72,1964.568333,1005,Free_Market
202692,1610612748,113.5,107.6,5.9,0.09,1.9,14.7,0.018,0.119,0.07,7.8,0.587,0.608,0.16,98.03,81.69,0.088,1766,2.3,5.5,Alec Burks,7/20/1991,USA,2011,1,12,2087519,0,MIA,37-45,15,26.6,179350729,38762729,173088172,90125126,5514986,Miami Heat,8.6,Kaseya Center,19600,"Miami, FL",1999,213000000,33,13,49,863.4966667,356,Free_Market
202693,1610612747,106.1,113.9,-7.8,0.191,4.2,21.2,0.017,0.114,0.066,5.1,0.364,0.385,0.202,100.86,84.05,0.045,345,1.4,4.7,Markieff Morris,9/2/1989,USA,2011,1,13,2087519,0,LAL,50-32,15,27.7,200785985,60197985,182745885,108760785,5514986,Los Angeles Lakers ,30,Crypto.com Arena,19068,"Los Angeles, CA",1999,375000000,35,13,15,164.4333333,56,Free_Market
202695,1610612746,120.3,107.9,12.4,0.147,1.61,13.5,0.033,0.158,0.098,8.4,0.56,0.589,0.28,97.26,81.05,0.134,2391,8.4,16.8,Kawhi Leonard,6/29/1991,USA,2011,1,15,49205800,0,LAC,50-32,15,27.7,174670238,34082238,166986734,102101025,3733720,LA Clippers,123,Intuit Dome,18300,"Inglewood, CA",2024,2000000000,33,13,37,1179.956667,796,Max_Contract
202696,1610612741,113.6,116,-2.4,0.165,2.15,17.3,0.076,0.228,0.154,8.1,0.592,0.611,0.221,104.11,86.76,0.136,4950,7.5,14.2,Nikola Vučević,10/24/1990,Montenegro,2011,1,16,20000000,0,CHI,39-43,15,24.6,168006873,27418873,157180244,59395348,8739110,Chicago Bulls,2.3,United Center,20917,"Chicago, IL",1994,175000000,34,13,73,2278.25,1349,Free_Market
202699,1610612765,114.7,110.8,3.9,0.095,1.91,14.4,0.028,0.155,0.092,7.6,0.534,0.571,0.173,100.89,84.07,0.1,4845,5.3,11,Tobias Harris,7/15/1992,USA,2011,1,19,25365854,444100,DET,44-38,15,25,141808220,1220220,133989678,56559037,7818542,Detroit Pistons ,10.1,Little Caesars Arena,20491,"Detroit, MI",2017,863000000,32,13,73,2305.413333,1002,Free_Market
202709,1610612753,110.5,106.9,3.6,0.166,4,28.7,0.027,0.095,0.06,7.2,0.529,0.547,0.126,98.59,82.16,0.075,1252,1.2,3.1,Cory Joseph,8/20/1991,Canada,2011,1,29,3303771,0,ORL,41-41,15,25.3,152959238,12371238,152959238,63257000,2328828,Orlando Magic,5.4,Amway Center,18000,"Orlando, FL",2010,480000000,33,13,50,611.7333333,177,Vet_Minimum
203076,1610612742,113.3,112.9,0.5,0.182,1.6,13.3,0.083,0.254,0.173,8.3,0.536,0.588,0.301,98.83,82.36,0.179,3515,9.2,17.8,Anthony Davis,3/11/1993,USA,2012,1,1,43219440,7000000,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,32.3,American Airlines Center,19200,"Dallas, TX",2001,420000000,31,12,51,1705.488333,1261,Free_Market
203078,1610612756,110.6,118.6,-8,0.177,1.97,18.6,0.021,0.083,0.054,9.4,0.571,0.598,0.219,100.02,83.35,0.093,3552,6.5,13.1,Bradley Beal,6/28/1993,USA,2012,1,3,50203930,1300000,HOU,52-30,15,25.7,173496349,32908349,161552948,78702108,7768363,Pheonix Suns,10,Toyota Center,18055,"Houston, TX",2003,235000000,31,12,53,1702.191667,902,Max_Contract
203081,1610612749,115.3,114.6,0.7,0.299,2.53,23.8,0.014,0.108,0.063,9.4,0.547,0.621,0.269,100.86,84.05,0.144,4407,7.7,17.1,Damian Lillard,7/15/1990,USA,2012,1,6,48787676,10000000,MIL,48-34,15,26.7,195746447,55158447,183221333,122031412,791771,Milwaukee Bucks,8.5,Fiserv Forum,17500,"Milwaukee, WI",2018,524000000,34,12,58,2092.87,1447,Max_Contract
203083,1610612755,103.4,118.9,-15.5,0.07,0.62,9.4,0.134,0.288,0.205,15.2,0.506,0.535,0.183,98.83,82.36,0.109,1543,2.9,5.9,Andre Drummond,8/10/1993,USA,2012,1,9,5000000,1300000,PHI,24-58,15,26.6,170340647,29752647,169548876,135768738,791771,Philidelphia 76ers,11.2,Wells Fargo Center,20478,"Philadelphia, PA",1996,210000000,31,12,40,750.6333333,293,Free_Market
203084,1610612759,114.5,115.6,-1.2,0.085,2.72,14.2,0.042,0.091,0.067,5.2,0.622,0.656,0.157,100.08,83.4,0.092,4662,4.2,8.3,Harrison Barnes,5/30/1992,USA,2012,1,7,18000000,960600,SAS,34-48,15,25.2,162809380,22221380,155231927,83196166,7577453,San Antonio Spurs ,0.2,Frost Bank Center,18418,"San Antonio, TX",2002,175000000,32,12,82,2230.063333,1011,Free_Market
203109,1610612758,101.9,109.2,-7.4,0.077,1.5,17.6,0.055,0.133,0.093,11.8,0.409,0.467,0.113,100.89,84.08,0.048,215,0.8,2.4,Jae Crowder,7/6/1990,USA,2012,2,34,1655619,0,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.8,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,34,12,9,102.7616667,23,Free_Market
203110,1610612744,115.4,108.8,6.6,0.255,2.2,33.9,0.036,0.168,0.102,15.4,0.503,0.534,0.157,101.35,84.45,0.088,4186,3.2,7.5,Draymond Green,3/4/1990,USA,2012,2,35,24107143,4100000,GSW,48-34,15,27.2,199518342,58930342,176474440,128667036,306447,Golden State Warriors ,4,Chase Center,18064,"San Francisco, CA",2019,1400000000,34,12,68,1983.306667,613,Free_Market
203114,1610612764,114.1,112.6,1.5,0.251,2.68,26,0.015,0.132,0.076,9.7,0.546,0.588,0.208,104.75,87.29,0.114,1845,4.3,9.1,Khris Middleton,8/12/1991,USA,2012,2,39,31000000,399800,WAS,18-64,15,24.5,211677970,71089970,162581956,83151786,7021331,Washington Wizards,3.1,Capital One Arena,20356,"Washington, D.C.",1997,260000000,33,12,37,843.1816667,440,Free_Market
203458,1610612747,101.4,118.9,-17.5,0.143,1.9,29.5,0.094,0.142,0.118,15.5,0.524,0.525,0.101,101.55,84.63,0.057,798,0.7,1.4,Alex Len,6/16/1993,Ukraine,2013,1,5,743829,132100,LAL,50-32,15,27.7,200785985,60197985,182745885,108760785,5514986,Los Angeles Lakers ,30,Crypto.com Arena,19068,"Los Angeles, CA",1999,375000000,31,11,46,379.79,74,Free_Market
203468,1610612740,112.3,119.4,-7.1,0.192,2.14,16.1,0.022,0.091,0.056,7.5,0.53,0.55,0.266,101.56,84.63,0.097,3874,7.9,17.9,CJ McCollum,9/19/1991,USA,2013,1,10,33333333,1200000,NOP,21-61,15,24.3,182966321,42378321,167934095,98876138,2715108,New Orleans Pelicans,7.9,Smoothie King Center,16867,"New Orleans, LA",1999,114000000,33,11,56,1831.678333,1183,Free_Market
203471,1610612765,111.8,112.8,-0.9,0.287,2.85,27.6,0.012,0.08,0.046,9.7,0.483,0.531,0.211,100.49,83.74,0.091,4393,4.5,11,Dennis Schröder,9/15/1993,Germany,2013,1,17,13025250,5500000,DET,44-38,15,25,141808220,1220220,133989678,56559037,7818542,Detroit Pistons ,10.1,Little Caesars Arena,20491,"Detroit, MI",2017,863000000,31,11,75,2104.778333,980,Free_Market
203482,1610612740,110.7,113.4,-2.7,0.2,1.68,24.4,0.069,0.154,0.112,14.5,0.562,0.609,0.185,100.28,83.57,0.098,1858,3,6.1,Kelly Olynyk,4/19/1991,Canada,2013,1,13,12804878,169100,NOP,21-61,15,24.3,182966321,42378321,167934095,98876138,2715108,New Orleans Pelicans,7.9,Smoothie King Center,16867,"New Orleans, LA",1999,114000000,33,11,44,890.9983333,384,Free_Market
203484,1610612763,109.1,108.6,0.5,0.086,2.19,17.7,0.014,0.064,0.038,8.1,0.543,0.574,0.121,96.52,80.44,0.065,4577,3.1,7.1,Kentavious Caldwell-Pope,2/18/1993,USA,2013,1,8,22757000,1300000,MEM,48-34,15,24.6,167814933,27226933,155850296,95988718,8014853,Memphis Grizzlies,24,FedExForum,18119,"Memphis, TN",2004,250000000,31,11,77,2279.036667,673,Free_Market
203486,1610612756,115.2,115,0.2,0.133,2.27,29.5,0.094,0.253,0.176,13,0.619,0.645,0.105,100.08,83.4,0.098,2732,1.7,2.7,Mason Plumlee,3/5/1990,USA,2013,1,22,2087519,1100,HOU,52-30,15,25.7,173496349,32908349,161552948,78702108,7768363,Pheonix Suns,10,Toyota Center,18055,"Houston, TX",2003,235000000,34,11,74,1300.045,333,Free_Market
203497,1610612750,114.3,107.6,6.7,0.075,1.43,14.9,0.111,0.21,0.161,10.5,0.669,0.687,0.129,97.63,81.36,0.126,4858,4.7,7.1,Rudy Gobert,6/26/1992,France,2013,1,27,43827586,821000,MIN,49-33,15,26.1,236725861,96137861,198847571,119077906,3705899,Minnesota Timberwolves,2.9,Target Center,18978,"Minneapolis, MN",1990,104000000,32,11,72,2388.423333,866,Free_Market
203500,1610612745,115.3,105.9,9.4,0.107,1.22,20.1,0.181,0.193,0.187,16.4,0.545,0.541,0.127,99.77,83.14,0.109,1658,1.6,2.9,Steven Adams,7/20/1993,New Zealand,2013,1,12,12600000,627100,MIL,48-34,15,26.7,195746447,55158447,183221333,122031412,14986624,Milwaukee Bucks,8.5,Fiserv Forum,17500,"Milwaukee, WI",2018,524000000,31,11,58,794.0666667,225,Free_Market
203507,1610612749,118.9,111.7,7.2,0.339,2.1,19.2,0.067,0.266,0.172,9.1,0.607,0.625,0.346,100.18,83.48,0.21,4772,11.8,19.7,Giannis Antetokounmpo,12/6/1994,Greece,2013,1,15,48787676,16100000,MIL,48-34,15,26.7,195746447,55158447,183221333,122031412,14986624,Milwaukee Bucks,8.5,Fiserv Forum,17500,"Milwaukee, WI",2018,524000000,30,11,67,2288.63,2036,Max_Contract
203552,1610612766,106.2,114.1,-8,0.087,1.88,13.4,0.02,0.081,0.049,7.1,0.599,0.616,0.151,99.1,82.58,0.083,2194,2.4,5,Seth Curry,8/23/1990,USA,,,,2087519,2000000,CHA,19-63,15,25.2,167423486,26835486,152436862,80445913,14986624,Charlotte Hornets ,0.4,Spectrum Center,19077,"Charlotte, NC",2005,260000000,34,11,68,1061.956667,444,Free_Market
203897,1610612758,115.4,116.8,-1.4,0.178,1.49,16.7,0.009,0.107,0.059,11.2,0.609,0.639,0.251,101.28,84.4,0.115,5493,8.4,16.5,Zach LaVine,3/10/1995,USA,2014,1,13,44531940,2300000,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.8,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,29,10,74,2602.48,1724,Free_Market
203901,1610612740,99.7,113.1,-13.4,0.443,2.81,47.4,0.027,0.114,0.071,16.9,0.332,0.34,0.151,101.3,84.42,0.079,1076,1.7,5.1,Elfrid Payton,2/22/1994,USA,2014,1,10,51527,0,NOP,21-61,15,24.3,182966321,42378321,167934095,98876138,2715108,New Orleans Pelicans,7.9,Smoothie King Center,16867,"New Orleans, LA",1999,114000000,30,10,24,510.805,85,Free_Market
203903,1610612762,107.5,117.5,-10,0.238,1.6,17.8,0.025,0.092,0.058,11.1,0.493,0.54,0.269,102.16,85.14,0.102,2049,5.4,13.3,Jordan Clarkson,6/7/1992,USA,2014,2,46,14092577,2000000,UTA,17-65,15,23.9,154114022,13526022,142648013,86906400,11466009,Utah Jazz,2.6,Delta Center,18306,"Salt Lake City, UT",1991,93000000,32,10,37,962.47,600,Free_Market
203914,1610612753,110.4,103.2,7.2,0.058,1.76,16.3,0.026,0.063,0.044,9.2,0.519,0.524,0.09,99.58,82.99,0.043,1465,1.1,2.8,Gary Harris,9/14/1994,USA,2014,1,19,7500000,138000,ORL,41-41,15,25.3,152959238,12371238,152959238,63257000,2328828,Orlando Magic,5.4,Amway Center,18000,"Orlando, FL",2010,480000000,30,10,48,710.71,145,Free_Market
203915,1610612742,110.1,115.1,-5,0.228,3.42,28.3,0.008,0.086,0.048,8.3,0.496,0.553,0.175,101.4,84.5,0.089,4515,3.6,8.6,Spencer Dinwiddie,4/6/1993,USA,2014,2,38,2087519,321900,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,32.3,American Airlines Center,19200,"Dallas, TX",2001,420000000,31,10,79,2136.085,872,Free_Market
203924,1610612757,107.4,113.4,-6.1,0.099,1.55,12.5,0.015,0.088,0.05,8,0.467,0.523,0.192,100.41,83.67,0.07,3183,4.6,12.2,Jerami Grant,3/12/1994,USA,2014,2,39,29793104,208800,POR,36-46,15,23.9,176848446,36260446,165518581,89691087,1568032,Portland Trailblazers,2,Moda Center,19441,"Portland, OR",1995,262000000,30,10,47,1523.586667,677,Free_Market
203926,1610612758,111.5,109.9,1.6,0.028,1.17,5.3,0.009,0.054,0.031,4.5,0.615,0.617,0.15,101.3,84.41,0.051,728,1.2,2.8,Doug McDermott,1/3/1992,USA,2014,1,11,2087519,221400,SAC,40-42,15,27.4,171370782,30782782,166101303,107131940,1319695,Sacramento Kings,0.8,Golden 1 Center,17500,"Sacramento, CA",2016,558000000,32,10,42,341.6516667,147,Free_Market
203932,1610612743,122.5,113,9.5,0.143,2.25,20.1,0.06,0.109,0.086,9,0.607,0.65,0.186,101.64,84.7,0.104,3068,5.2,9.7,Aaron Gordon,9/16/1995,USA,2014,1,4,22841455,1300000,DEN,50-32,15,26,192786656,52198656,182574315,123292088,7021331,Denver Nuggets,16.9,Ball Arena,19520,"Denver, CO",1999,187000000,29,10,51,1446.716667,748,Free_Market
203935,1610612764,109.9,107.3,2.6,0.221,2.02,24.1,0.024,0.069,0.047,11.9,0.488,0.529,0.198,107.13,89.28,0.086,1520,3,7.6,Marcus Smart,3/6/1994,USA,2014,1,6,20210285,788500,WAS,18-64,15,24.5,211677970,71089970,162581956,83151786,7021331,Washington Wizards,3.1,Capital One Arena,20356,"Washington, D.C.",1997,260000000,30,10,34,680.34,305,Free_Market
203937,1610612748,106.1,107.6,-1.5,0.211,3.92,28.3,0.049,0.148,0.097,7.2,0.51,0.538,0.152,100.06,83.39,0.108,2093,2.3,5,Kyle Anderson,9/20/1993,USA,2014,1,30,8780488,178700,MIA,37-45,15,26.6,179350729,38762729,173088172,90125126,2328828,Miami Heat,8.6,Kaseya Center,19600,"Miami, FL",1999,213000000,31,10,61,1002.093333,357,Free_Market
203939,1610612742,108.6,109.7,-1.1,0.13,3.06,36.2,0.084,0.131,0.107,11.8,0.705,0.713,0.073,102.17,85.14,0.073,1172,0.8,1.1,Dwight Powell,7/20/1991,Canada,2014,2,45,4000000,111800,DAL,39-43,15,26.8,187147472,46559472,172077663,99092456,2328828,Dallas Mavericks ,32.3,American Airlines Center,19200,"Dallas, TX",2001,420000000,33,10,55,550.86,114,Free_Market
